Reading symbols from level03...
Dump of assembler code for function post_blog_article:
   0x08049f20 <+0>:	push   ebp
   0x08049f21 <+1>:	push   edi
   0x08049f22 <+2>:	push   esi
   0x08049f23 <+3>:	push   ebx
   0x08049f24 <+4>:	sub    esp,0x4c
   0x08049f27 <+7>:	mov    ebx,DWORD PTR ds:0x804bdfc
   0x08049f2d <+13>:	test   ebx,ebx
   0x08049f2f <+15>:	je     0x804a179 <post_blog_article+601>
   0x08049f35 <+21>:	mov    edx,DWORD PTR ds:0x804bdf4
   0x08049f3b <+27>:	test   edx,edx
   0x08049f3d <+29>:	je     0x804a179 <post_blog_article+601>
   0x08049f43 <+35>:	mov    eax,ds:0x804be04
   0x08049f48 <+40>:	test   eax,eax
   0x08049f4a <+42>:	je     0x804a179 <post_blog_article+601>
   0x08049f50 <+48>:	mov    DWORD PTR [esp+0x4],0x1
   0x08049f58 <+56>:	mov    DWORD PTR [esp],0x20000
   0x08049f5f <+63>:	call   0x8048d20 <calloc@plt>
   0x08049f64 <+68>:	mov    esi,DWORD PTR ds:0x804be00
   0x08049f6a <+74>:	add    esi,DWORD PTR ds:0x804bdec
   0x08049f70 <+80>:	add    esi,0x4
   0x08049f73 <+83>:	mov    DWORD PTR [eax],0x54534f50
   0x08049f79 <+89>:	mov    edi,eax
   0x08049f7b <+91>:	mov    DWORD PTR [eax+0x4],0x6c622f20
   0x08049f82 <+98>:	mov    DWORD PTR [eax+0x8],0x702f676f
   0x08049f89 <+105>:	mov    DWORD PTR [eax+0xc],0x2074736f
   0x08049f90 <+112>:	mov    DWORD PTR [eax+0x10],0x50545448
   0x08049f97 <+119>:	mov    DWORD PTR [eax+0x14],0x312e312f
   0x08049f9e <+126>:	mov    WORD PTR [eax+0x18],0xa0d
   0x08049fa4 <+132>:	mov    DWORD PTR [eax+0x1a],0x6e6e6f43
   0x08049fab <+139>:	mov    DWORD PTR [eax+0x1e],0x69746365
   0x08049fb2 <+146>:	mov    DWORD PTR [eax+0x22],0x203a6e6f
   0x08049fb9 <+153>:	mov    DWORD PTR [eax+0x26],0x736f6c63
   0x08049fc0 <+160>:	mov    DWORD PTR [eax+0x2a],0xa0d65
   0x08049fc7 <+167>:	lea    eax,[eax+0x2d]
   0x08049fca <+170>:	mov    DWORD PTR [esp+0x10],ebx
   0x08049fce <+174>:	mov    DWORD PTR [esp+0xc],0x804a3d4
   0x08049fd6 <+182>:	mov    DWORD PTR [esp+0x8],0xffffffff
   0x08049fde <+190>:	mov    DWORD PTR [esp+0x4],0x1
   0x08049fe6 <+198>:	mov    DWORD PTR [esp],eax
   0x08049fe9 <+201>:	call   0x8048f40 <__sprintf_chk@plt>
   0x08049fee <+206>:	mov    DWORD PTR [esp+0x10],esi
   0x08049ff2 <+210>:	mov    DWORD PTR [esp+0xc],0x804a3df
   0x08049ffa <+218>:	mov    DWORD PTR [esp+0x8],0xffffffff
   0x0804a002 <+226>:	mov    DWORD PTR [esp+0x4],0x1
   0x0804a00a <+234>:	lea    ebx,[eax+0x2d]
   0x0804a00d <+237>:	lea    eax,[edi+ebx*1]
